,responsibilities,requirements,url,text
Accounting Manager,"Manage and oversee the daily operations of the accounting department including:month and end-year processaccounts payable/receivablecash receiptsgeneral ledgerpayroll and utilitiestreasury, budgetingcash forecastingrevenue and expenditure variance analysiscapital assets reconciliationstrust account statement reconciliations,check runsfixed asset activitydebt activity
","month and end-year process
accounts payable/receivable
cash receipts
general ledger
payroll and utilities
treasury, budgeting
cash forecasting
revenue and expenditure variance analysis
capital assets reconciliations
trust account statement reconciliations,
check runs
fixed asset activity
debt activity
",https://resources.workable.com/accounting-manager-job-description,Accounting Manager job description
Accounting Supervisor,"Oversee daily transactions, including accounts payable/receivable, general ledger and bank reconciliations
Participate in regular tax audits and payroll
Prepare budgeting reports and forecast revenues
Manage month-end and year-end closing
Monitor the daily performance of the accounting department
Organize financial data into useable information and maintain updated records
Track the progress of financial and accounting objectives
Establish accounting policies and procedures, aligned with company’s targets
Ensure compliance with the law
","Proven work experience as an Accounting Supervisor
Experience with accounting software (e.g. FreshBooks and Zoho)
Strong computer skills, MS Excel in particular (managing spreadsheets, creating charts and using advanced formulas)
Solid knowledge of bookkeeping and accounting principles, laws and regulations
Excellent analytical skills to manage large amounts of data
Attention to detail and accuracy
Team management skills
Ability to prioritize work
BS degree in Accounting or Finance
Accounting certification (e.g. CMA or CPA) is a plus
",https://resources.workable.com/accounting-supervisor-job-description,"Accounting Supervisor job descriptionYou will work closely with a team of accountants to manage financial functions, including accounts payable/receivable, bank reconciliations and tax audits. Our ideal candidate uses strong analytical skills to create detailed financial reports and forecasts. To succeed in this role, you should also have a problem-solving attitude and be able to manage a team.
Ultimately, you should be able to ensure our financial management is accurate and effective.
"
Accounts Payable Clerk,"Process accounts and incoming payments in compliance with financial policies and procedures
Perform day to day financial transactions, including verifying, classifying, computing, posting and recording accounts receivables’ data
Prepare bills, invoices and bank deposits
Reconcile the accounts receivable ledger to ensure that all payments are accounted for and properly posted.
Verify discrepancies by and resolve clients’ billing issues
Facilitate payment of invoices due by sending bill reminders and contacting clients
Generate financial statements and reports detailing accounts receivable status 
","Proven working experience as accounts payable clerk (or accounts receivable clerk)
Solid understanding of basic bookkeeping and accounting payable principles
Proven ability to calculate, post and manage accounting figures and financial records
Data entry skills along with a knack for numbers
Hands-on experience with spreadsheets and proprietary software
Proficiency in English and in MS Office
Customer service orientation and negotiation skills
High degree of accuracy and attention to detail
BS degree in Finance, Accounting or Business Administration
",https://resources.workable.com/accounts-payable-clerk-job-description,Accounts Payable Clerk job description
Accounts Receivable Clerk,"Process accounts and incoming payments in compliance with financial policies and procedures
Perform day to day financial transactions, including verifying, classifying, computing, posting and recording accounts receivables’ data
Prepare bills, invoices and bank deposits
Reconcile the accounts receivable ledger to ensure that all payments are accounted for and properly posted.
Verify discrepancies by and resolve clients’ billing issues
Facilitate payment of invoices due by sending bill reminders and contacting clients
Generate financial statements and reports detailing accounts receivable status
","Proven working experience as accounts receivable clerk, accounts receivable manager or accountant
Solid understanding of basic accounting principles, fair credit practices and collection regulations
Proven ability to calculate, post and manage accounting figures and financial records
Data entry skills along with a knack for numbers
Hands-on experience in operating spreadsheets and accounting software (JDE or other full-scale ER software)
Proficiency in English and in MS Office
Customer service orientation and negotiation skills
High degree of accuracy and attention to detail
BS degree in Finance, Accounting or Business Administration
",https://resources.workable.com/accounts-receivable-clerk-job-description,"Accounts Receivable Clerk job descriptionAccounts receivable duties include ensuring accuracy and efficiency of operations, processing and monitoring incoming payments, and securing revenue by verifying and posting receipts.
"
Accounts Receivable Manager,"Set objectives for the accounts receivable team that align with the accounting department’s goals
Monitor processing of invoices
Ensure timely collection of payments
Conduct credit checks
Negotiate with clients in non-payment cases
Prepare monthly, quarterly, annual and ad-hoc forecasting reports
Organize records of invoices, bills and deposits
Ensure high-quality invoicing and collection procedures that comply with the law
Support Accounts Receivable Clerks on a daily basis and train new team members
Ensure all team members follow the accounting principles
Stay updated on industry and legislative changes
","Proven work experience as an Accounts Receivable Manager or Supervisor
Hands-on experience with accounting software
Familiarity with advanced formulas in MS Excel
Excellent analytical skills along with the ability to create and present detailed reports
Ability to accurately process numerical data
Team management and negotiation skills
Problem-solving attitude
Confidentiality
BSc degree in Accounting or Finance
CPA certification is a plus
",https://resources.workable.com/accounts-receivable-job-description,"Accounts Receivable Manager job descriptionThe main responsibilities for this role include managing invoices, handling missed payments and supervising Accounts Receivable Clerks. Our ideal candidate is familiar with all accounting procedures and can manage daily financial transactions end-to-end. If you have previous experience managing a financial team, we’d like to meet you.
Ultimately, you should be able to ensure accuracy and efficiency throughout our entire accounts receivable process.
"
Administration Manager,"Plan and coordinate administrative procedures and systems and devise ways to streamline processes
Recruit and train personnel and allocate responsibilities and office space
Assess staff performance and provide coaching and guidance to ensure maximum efficiency
Ensure the smooth and adequate flow of information within the company to facilitate other business operations
Manage schedules and deadlines
Monitor inventory of office supplies and the purchasing of new material with attention to budgetary constraints
Monitor costs and expenses to assist in budget preparation
Oversee facilities services, maintenance activities and tradespersons (e.g electricians)
Organize and supervise other office activities (recycling, renovations, event planning etc.)
Ensure operations adhere to policies and regulations
Keep abreast with all organizational changes and business developments
","Proven experience as administration manager
In-depth understanding of office management procedures and departmental and legal policies
Familiarity with financial and facilities management principles
Proficient in MS Office
An analytical mind with problem-solving skills
Excellent organizational and multitasking abilities
A team player with leadership skills
BSc/BA in business administration or relative field
",https://resources.workable.com/administration-manager-job-description,"Administration Manager job descriptionWe are looking for an experienced Administration Manager to supervise daily support operations of our company and plan the most efficient administrative procedures. You will lead a team of professionals to complete a range of administrative duties in different departments.
A great administration manager has excellent communication and organizational skills. The ideal candidate will be well-versed in departmental procedures and policies and will be able to actively discover new ways to do the job more efficiently. 
The goal is to ensure all support activities are carried on efficiently and effectively to allow the other operations to function properly.
"
Administrative,,,https://resources.workable.com/category/job-descriptions/administrative-job-descriptions/,
Administrative Assistant,"Answer and direct phone calls
Organize and schedule appointments
Plan meetings and take detailed minutes
Write and distribute email, correspondence memos, letters, faxes and forms
Assist in the preparation of regularly scheduled reports
Develop and maintain a filing system
Update and maintain office policies and procedures
Order office supplies and research new deals and suppliers
Maintain contact lists
Book travel arrangements
Submit and reconcile expense reports
Provide general support to visitors
Act as the point of contact for internal and external clients
Liaise with executive and senior administrative assistants to handle requests and queries from senior managers
","Proven experience as an administrative assistant, virtual assistant or office admin assistant
Knowledge of office management systems and procedures
Working knowledge of office equipment, like printers and fax machines
Proficiency in MS Office (MS Excel and MS PowerPoint, in particular)
Excellent time management skills and the ability to prioritize work
Attention to detail and problem solving skills
Excellent written and verbal communication skills
Strong organizational skills with the ability to multi-task
High School degree; additional qualification as an Administrative assistant or Secretary will be a plus
",https://resources.workable.com/administrative-assistant-job-description,"Administrative Assistant job descriptionWe are looking for a responsible Administrative Assistant to perform a variety of administrative and clerical tasks. Duties of the Administrative Assistant include providing support to our managers and employees, assisting in daily office needs and managing our company’s general administrative activities.
Administrative Assistant responsibilities include making travel and meeting arrangements, preparing reports and maintaining appropriate filing systems. The ideal candidate should have excellent oral and written communication skills and be able to organize their work using tools, like MS Excel and office equipment. If you also have previous experience as a Secretary or Executive administrative assistant and familiarity within our industry, we’d like to meet you.
Ultimately, a successful Admin Assistant should ensure the efficient and smooth day-to-day operation of our office.
"
Administrative officer,"Manage office supplies stock and place orders
Prepare regular reports on expenses and office budgets
Maintain and update company databases
Organize a filing system for important and confidential company documents
Answer queries by employees and clients
Update office policies as needed
Maintain a company calendar and schedule appointments
Book meeting rooms as required
Distribute and store correspondence (e.g. letters, emails and packages)
Prepare reports and presentations with statistical data, as assigned
Arrange travel and accommodations
Schedule in-house and external events
","Proven work experience as an Administrative Officer, Administrator or similar role
Solid knowledge of office procedures
Experience with office management software like MS Office (MS Excel and MS Word, specifically)
Strong organization skills with a problem-solving attitude
Excellent written and verbal communication skills
Attention to detail
High school diploma; additional qualifications in Office Administration are a plus
",https://resources.workable.com/administrative-officer-job-description,"Administrative officer job descriptionWe are looking for an Administrative Officer to join our team and support our daily office procedures.
A successful Administrative Officer will act as the point of contact for all employees, providing administrative support and managing their queries. Main duties include managing office stock, preparing regular reports (e.g. expenses and office budgets) and organizing company records. If you have previous experience as an Office Administrator or similar administrative role, we’d like to meet you. Our ideal candidate also has working knowledge of office equipment and office management tools.
Ultimately, you should be able to ensure our administrative activities run smoothly on a daily and long-term basis.
"
Administrator,"Book meetings and schedule events
Order office stationery and supplies
Maintain internal databases
Submit expense reports
Keep employee records (physical and digital)
Maintain a filing system for data on customers and external partners
Distribute incoming and outgoing mail
Prepare regular reports and presentations
Organize, store and print company documents as needed
Answer and redirect phone calls
Make travel arrangements
Handle queries from managers and employees
Update office policies and ensure compliance with them
","Proven experience as an Administrator, Administrative Assistant or relevant role
Familiarity with office equipment, including printers and fax machines
Knowledge of office policies and procedures
Experience with office management tools (MS Office software, in particular)
Excellent organizational and time-management skills
Strong written and oral communication skills
Problem-solving attitude with an eye for detail
High school diploma; additional qualifications as an Office Administrator or Secretary are a plus
",https://resources.workable.com/administrator-job-description,"Administrator job descriptionThe Administrator should be highly organized and able to multitask with ease. The Administrator’s main tasks include managing office equipment, booking meetings and events, arranging travel and distributing mail. Our ideal candidate has experience as an Office Administrator, Secretary or relevant administrative role. You should also be familiar with office software (e.g. MS Office), including word processors, spreadsheets and presentations.
Ultimately, a successful Administrator should be able to ensure our office procedures run smoothly.
"
Advertising Account Executive,"Remain in close communication with clients to comprehend their needs and specifications
Listen to suggestions and wishes of the clients and communicate them to the appropriate people inside the agency
Learn about the clients’ industry and business activities to suggest more personalized solutions
Liaise with clients to organize promotional events or decide on advertising material that suit their profiles and goals
Collaborate with colleagues to design creative campaigns or other projects according to the standards discussed with clients
Employ networking techniques to attract new clients
Negotiate budgets and deadlines and make detailed presentations justifying costs and schedules
Undertake administrative work and keep records of clients
","Proven experience as an Advertising Account Executive or related position
Good understanding of marketing and advertising methods and techniques
Good knowledge of MS Office; working knowledge of CRM software will be a strong advantage
Ability to multi-task and handle a variety of accounts possibly from different industries
A team player with outstanding communication and presentation skills
BSc/ BA in Marketing, Business Administration or relevant field
",https://resources.workable.com/advertising-account-executive-job-description,"Advertising Account Executive job descriptionYour work will be essential to preserve customer satisfaction through listening to preferences and addressing them with fruitful advice and services. The ideal candidate will be a good listener with a customer orientated approach.
The goal is to ensure the continuous development of our business activities and establish our agency as a leader in the industry.
"
Analytics Manager,"Understand business needs and objectives
Develop strategies for effective data analysis and reporting
Define company-wide metrics and relevant data sources
Select, configure and implement analytics solutions
Lead and develop a team of data analysts
Oversee all analytics operations to correct discrepancies and ensure quality
Extract reports from multiple sources (e.g. operations, IT, customer feedback)
Build systems to transform raw data into actionable business insights
Apply industry knowledge to interpret data and improve performance
Keep abreast of industry news and trends
","Proven experience as an Analytics Manager or Data Scientist
Solid experience in data analysis and reporting; industry experience is a plus
Background in market research and project management
Knowledge of Excel, R and SQL; familiarity with business intelligence tools (e.g. Tableau, SAS)
Superb communication skills
Analytical skills and strong organizational abilities
Attention to detail
Problem-solving aptitude
BSc/BA in Computer Science, Statistics, Data Management or a related field
",https://resources.workable.com/analytics-manager-job-description,"Analytics Manager job descriptionIn this role, we expect you to have strong logical reasoning skills and business intelligence. The ability to communicate effectively is essential. If you also have solid industry experience, we’d like to meet you.
Your goal will be to help our business use data to drive high performance and quality.
"
Android Developer,"Design and build advanced applications for the Android platform
Collaborate with cross-functional teams to define, design, and ship new features
Work with outside data sources and APIs
Unit-test code for robustness, including edge cases, usability, and general reliability
Work on bug fixing and improving application performance
Continuously discover, evaluate, and implement new technologies to maximize development efficiency
","BS/MS degree in Computer Science, Engineering or a related subject
Proven software development experience and Android skills development
Proven working experience in Android app development and
Have published at least one original Android app
Experience with Android SDK
Experience working with remote data via REST and JSON
Experience with third-party libraries and APIs
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies
Solid understanding of the full mobile development life cycle.
",https://resources.workable.com/android-developer-job-description,Android Developer job description
Animator,"Read scripts and storylines to understand animation requirements
Prepare presentations with raw designs to customers
Develop storyboards for the initial stages of production
Create models, drawings and illustrations by hand or electronically
Join images with background graphics and special effects
Ensure synchronization of frames and audio
Participate in editing process
Direct the work of animation assistants
Collaborate with production crew (designers, directors etc.)
","Proven experience as animator
Knowledge of 2D/3D, stop motion and computer-generated animation
Experience in project management
Proficient in CGI software (Photoshop, 3ds Max, Maya etc.)
A creative storyteller with presentation abilities
Comfortable working with deadlines and budget restrictions
Teamwork and excellent communication skills
Degree in computer animation, 3D/graphic design, fine arts or relevant field
",https://resources.workable.com/animator-job-description,"Animator job descriptionAnimators possess a creative eye and artistic aptitude. They can easily turn a script or a concept into an impressive computer-generated animation. To excel in this role, you must be highly skilled in CGI software and storytelling.
"
Application Developer,"Understand client requirements and how they translate in application features
Collaborate with a team of IT professionals to set specifications for new applications
Design creative prototypes according to specifications
Write high quality source code to program complete applications within deadlines
Perform unit and integration testing before launch
Conduct functional and non-functional testing
Troubleshoot and debug applications
Evaluate existing applications to reprogram, update and add new features
Develop technical documents and handbooks to accurately represent application design and code 
","Proven experience as application developer
Experience in designing and building applications
Ability to program in at least one programming language such as C#, Java (J2EE) etc.
In-depth knowledge of programming for diverse operating systems and platforms using development tools
Excellent understanding of software design and programming principles.
A team player with excellent communication skills
Analytical thinking and problem-solving capability
Great attention to detail and time-management skills
BSc/BA in computer science or relevant field; MSc/MA will be appreciated
Certified application developer is a plus
",https://resources.workable.com/application-developer-job-description,"Application Developer job descriptionA great Application Developer has excellent knowledge of at least one programming language. They must be familiar with a variety of operating systems and platforms. The ideal candidate will also have an analytical mindset and a keen eye for detail.
The goal is to write “clean” and flawless code to produce fully functional software applications according to requirements. 
"
Architect,"Control project from start to finish to ensure high quality, innovative and functional design
Take the “brief” to identify clients’ needs and put together feasibility reports and design proposals
Develop ideas keeping in mind client’s needs, building’s usage and environmental impact
Produce detailed blueprints and make any necessary corrections
Compile project specifications
Keep within budgets and timelines
Ensure that all works are carried out to specific standards, building codes, guidelines and regulations
Make on site visits to check on project status and report on project
Cooperate and liaise with construction professionals
Follow architectural trends and advancements
","Proven working experience as an architect
Strong portfolio to prove artistic skills
Expert knowledge of building products, construction details and relevant rules, regulations and quality standards
Excellent drawing skills and familiarity with design software (Adobe Photoshop, SketchUp, 3d Studio VIZ or similar)
Strong imagination and the ability to think and create in three dimensions
Visual awareness and an eye for detail
Communication and project management skills
BS degree in Architecture
",https://resources.workable.com/architect-job-description,Architect job description
Area Manager,"Formulate fruitful business development strategies to ensure long-term success
Set standards and objectives for different stores and departments
Optimize and oversee operations to ensure efficiency
Lead a team of store managers towards effective collaboration and attainment of goals
Undertake sound financial management to ensure stores are profitable and stay within budget 
Ensure compliance with company’s policies and operational guidelines
Deal with problems by providing creative and practical solutions
Evaluate performance using key metrics and address issues to improve it 
Report to senior executives on progress and issues
Assist upper management in decisions for expansion or acquisition
","Proven experience as area manager, store manager, assistant manager or similar managerial role
Knowledge of performance evaluation metrics and principles
Sound understanding of optimization of store operations and standards for success
Working knowledge of ERP software 
Exceptional communication and interpersonal abilities
Excellent organizational and leadership abilities 
Strong business acumen with a strategic orientation
Excellent problem-solving abilities
BSc/BA in business administration, retail management or similar field
",https://resources.workable.com/area-manager-job-description,"Area Manager job descriptionEffective area managers are skilled in managing diverse operations from a distance. They have a strategic mindset and are excellent leaders. Excellent abilities in financial and operations planning are also essential for the role.
The goal is to ensure our stores will meet and exceed expectations of business development and efficiency.
"
Art Director,"Generate clear ideas and concepts in tandem with the copywriter
Produce sketches, storyboards, roughs to visualize ideas
Understand marketing initiatives, strategic positioning and target audience
Cooperate with the rest of the creative team across different types of media
Take work from concept to final execution within deadlines
Manage and delegate responsibilities to other designers and provide directions
Present completed ideas to clients/team members
Stay on top of all trends and maintain best practices
","Proven working experience as Art director
Hands on experience with logo design, typography, color, web layout design, print production, image selection and package design
Proficient use of InDesign, Photoshop, Illustrator or other visual design and wire-framing tools
Demonstrable graphic design skills with a strong portfolio
Incorporate feedback and take/give direction well
Team player with strong communication and presentation skills
Relevant education or training
",https://resources.workable.com/art-director-job-description,Art Director job description
Assembler,"Read and comprehend instructions and follow established procedures
Collect all material and equipment needed to begin the process
Take precision measurements to ensure perfect fit of components
Select or modify components according to measurements and specifications
Align material and put together parts to build more complex units
Check output to ensure highest quality
Maintain equipment in good condition
Keep records of production quantities and time
Report on issues, malfunction or defective parts
","Proven experience as assembler
Technical knowledge and ability to read blueprints, drawings etc.
Ability in using tools (e.g. clamps) and machines (e.g. presses)
Good understanding of quality control principles
Good communication skills (verbal and written)
Excellent hand-eye coordination and physical condition
High school diploma; Higher degree from a technical school will be appreciated
",https://resources.workable.com/assembler-job-description,"Assembler job descriptionYou must have good technical knowledge and possess great manual dexterity. Ability to read instructions represented in manuals, drawings, schematics etc. and follow them with precision is extremely important. 
The goal is to produce complex outputs by putting together smaller components.
"
Assistant Account Executive,"Develop sales materials (e.g. proposals, slides, analyses)
Assist in delivering presentations to clients
Conduct research to inform clients’ strategies
Help plan projects from start to finish (estimates, budgets, schedules)
Coordinate with internal teams and vendors to implement projects
Monitor project progress, timelines and expenses
Submit regular status reports
Respond to customer requests
Maintain data and records
","Proven experience as an Assistant Account Executive, Account Coordinator or similar role
Experience in project management; background in advertising and social media marketing is a plus
Knowledge of research methods
Proficient in MS Office
Excellent communication abilities (oral and written)
Attention to detail
Outstanding organizational skills
Ability to work under pressure
BSc/BA in Marketing, Communications, Business or related field
",https://resources.workable.com/assistant-account-executive-job-description,"Assistant Account Executive job descriptionIn this role, you should be well-organized and adaptable. Attention to detail and communication skills are both essential. If you also have experience with project management and account service, we’d like to meet you.
Your goal will be to ensure we provide excellent service to our customers.
"
Assistant Brand Manager,"Meet with stakeholders to determine brand objectives and strategies
Research markets and study the company’s brand
Present and execute creative ideas for marketing activities
Help develop and optimize marketing campaigns (product launching and promotion)
Coordinate sales, product development and other teams
Track budgets with an eye towards maximizing gains and reducing costs
Analyze industry, competition and market trends
Prepare reports on brand performance and sales
","Proven experience as an Assistant Brand Manager
Knowledge of product pricing, packaging, distribution and positioning
Familiarity with latest marketing trends and best practices
Ability to conduct research and analyze data
Organizational skills, experience meeting tight deadlines
Excellent communication and teamwork skills
Results-driven attitude
A creative mindset
BSc/BA in Marketing, Communication, Business or related field; Master’s/MBA is a plus
",https://resources.workable.com/assistant-brand-manager-job-description,"Assistant Brand Manager job descriptionIn this role, you should be creative and results-oriented. An analytical mind and research skills are essential to this job. If you’re also an excellent communicator and team player, we’d like to meet you.
Your goal will be to increase sales and brand awareness through effective marketing plans and campaigns.
"
